source,source_id,period,duration,depth,radius,eqt,insol,st_teff,st_logg,st_rad,ra,dec,label,label_raw,mission_code
,3498.01,4.8768783,4.024,3800.0,4.71563,1154.0,295.298,4562.0,4.54562,0.75,185.1383,-62.401609,candidate,PC,TESS
,3499.01,4.5992844,8.1684205,3654.135375,19.0560523,1905.25687,3114.11859,5695.0,3.45316,3.1233001,155.79732,-52.750212,candidate,PC,TESS
,350.01,2.5130547,1.796,5050.0,8.55709,1659.0,1258.82,5635.0,4.41,0.85,21.292047,-47.262831,candidate,APC,TESS
,3500.01,7.3436151,3.8475431,1314.709496,3.996537,928.2392842,175.4529921,5406.0,4.32992,1.0980901,186.816884,-29.832996,candidate,PC,TESS
,3500.02,,7.9079384,8094.988938,10.6445904,741.7781718,71.5512456,5406.0,4.32992,1.0980901,186.816884,-29.832996,candidate,PC,TESS
,3501.01,15.3502505,2.87,26220.0,19.2152,750.0,52.6633,5782.5,3.92,1.0,181.000805,-28.325347,candidate,APC,TESS
,3502.01,3.4468018,1.059593,3745.683726,9.8310336,1835.41678,2682.006295,7853.0,4.33241,1.5443701,174.043143,-56.624175,candidate,PC,TESS
,3503.01,1.1882549,2.4231243,2971.341878,12.1227001,2961.401265,18176.49042,8405.0,4.25145,1.78789,163.714472,-58.569285,candidate,PC,TESS
,3504.01,2.1570462,2.3436622,17928.36728,14.5949243,1448.82629,1041.32495,5863.0,4.42,1.04535,300.735006,24.435135,false_positive,FP,TESS
,3505.01,2.9151556,2.004,2910.0,7.4578,,504.746,6220.0,,1.34,297.043476,18.698914,candidate,PC,TESS
,3506.01,4.4961387,3.5068675,10767.33137,12.7988183,1159.228952,426.7739259,5554.0,4.28,1.18466,299.224223,31.42271,candidate,PC,TESS
,3507.01,1.7561019,2.858,11010.0,8.43478,1571.0,1012.39,4896.0,4.52,0.81,298.561279,32.425717,false_positive,FP,TESS
,3508.01,1.2997811,2.35,7140.0,13.6803,2068.0,3036.53,6053.0,4.08,1.61,290.079022,21.371475,false_positive,FP,TESS
,3509.01,5.1108509,4.36,15900.0,,1107.0,249.397,4916.0,,,302.196738,25.453674,candidate,PC,TESS
,351.01,3.4654953,4.1612558,5884.190557,14.2776184,1552.671127,1373.532406,5570.3,3.93,1.77738,357.580647,-17.077595,planet,KP,TESS
,3510.01,2.8724894,2.772,13480.0,13.1718,1387.0,614.779,5752.0,4.37,1.1,296.354017,30.779967,candidate,PC,TESS
,3511.01,1.0848133,1.074,14120.0,12.3151,1148.0,289.23,4670.0,4.32,0.99,287.275134,28.362632,candidate,APC,TESS
,3512.01,1.7113115,1.562,9840.0,,1740.0,1522.7,6845.2,,,293.480154,34.573742,false_positive,FP,TESS
,3513.01,2.9817237,2.919,4970.0,15.4413,1937.0,2338.63,7717.5,,2.14,301.224694,25.009637,candidate,PC,TESS
,3514.01,1.5039495,1.857,25120.0,17.3816,1619.0,1141.17,5623.0,4.54,0.95,295.556776,32.614099,candidate,PC,TESS
,3515.01,3.0415724,3.602,6090.0,10.3727,,1021.58,5814.1,,1.3,284.513463,28.93787,candidate,PC,TESS
,3516.01,2.501531,1.887,2980.0,20.1829,1947.0,2388.65,5823.0,4.06,1.58,288.973752,30.609158,candidate,PC,TESS
,3517.01,3.3687307,2.645,13270.0,13.6378,1248.0,403.813,5727.0,4.3,1.18,278.705159,44.758806,candidate,PC,TESS
,3518.01,2.9661661,2.068,19190.0,16.476,1122.0,263.25,5436.0,,1.17,288.773993,30.785472,candidate,PC,TESS
,3519.01,3.500869,3.84,6230.0,13.3258,1531.0,913.394,5870.0,4.01,1.69,308.077998,21.34507,candidate,PC,TESS
,352.01,11.6235,2.783,44708.7,20.7208,661.0,31.7369,5518.0,4.34,0.89,342.067547,-24.838685,candidate,APC,TESS
,3520.01,3.0086349,3.034,8530.0,13.7329,1495.0,831.069,5984.0,4.15,1.46,284.083969,38.584869,candidate,PC,TESS
,3521.01,3.0002348,0.496,8920.0,,697.0,39.1931,5757.3,,,316.939742,31.780951,candidate,PC,TESS
,3522.01,3.3412415,1.938,12360.0,10.2542,993.0,161.632,5285.0,4.48,0.9,301.079595,34.398801,candidate,PC,TESS
,3523.01,2.304583,3.457,10800.0,16.9661,1970.0,2500.98,6562.0,4.18,1.58,304.283458,42.906534,candidate,PC,TESS
,3524.01,3.3418892,2.084,24860.0,13.4003,928.0,123.578,4874.0,4.53,0.8,301.078777,34.398008,false_positive,FP,TESS
,3525.01,0.8912218,1.846,9160.0,15.1782,2274.0,4445.59,6245.0,4.12,1.59,320.427977,37.822833,false_positive,FP,TESS
,3526.01,1.5380702,2.226,8770.0,18.9812,1862.0,1996.94,6125.0,3.87,2.06,301.520846,34.315352,false_positive,FP,TESS
,3527.01,1.755115,2.3819547,7747.168344,33.1493745,2358.843655,7316.740088,5889.0,3.71,2.4012699,300.263522,40.577175,candidate,PC,TESS
,3528.01,1.9740614,2.1627229,19601.28296,,1452.928526,1053.275131,3633.7,,,311.862231,37.117833,false_positive,FP,TESS
,3529.01,2.5850398,2.39,12980.0,14.2221,1360.0,568.458,5770.0,,1.2,328.059766,27.60727,candidate,PC,TESS
,353.01,1.2979921,2.5298876,10855.65582,39.1860336,1687.361839,1915.81643,4965.0,,2.63993,24.272371,-46.945342,candidate,PC,TESS
,3530.01,1.3570332,1.161,2150.0,,3013.0,13694.3,12679.0,,,309.083635,38.916455,candidate,APC,TESS
,3531.01,3.8099858,4.3118658,13073.87706,18.6054746,1603.720222,1563.275145,6674.0,4.19,1.58842,321.377492,55.722936,candidate,APC,TESS
,3532.01,2.4563456,2.4372041,9097.651365,,1350.865987,786.9915489,4908.5,,,302.324919,39.120541,candidate,PC,TESS
,3533.01,4.3167817,2.75,8360.0,,1037.0,192.446,5276.4,,,308.562722,35.395056,candidate,PC,TESS
,3534.01,3.2346944,3.5710893,10156.56139,13.3160023,1374.574227,843.7111506,5613.0,4.2,1.3147399,296.837248,48.239969,planet,KP,TESS
,3535.01,1.9115371,2.647,11380.0,,,,,,,315.638041,41.923195,candidate,PC,TESS
,3536.01,1.8532983,1.197,10790.0,,1304.0,480.295,6292.8,,,296.414319,51.161973,false_positive,FP,TESS
,3537.01,5.6133922,1.424,15850.0,15.2695,861.0,91.3894,5848.0,4.41,1.07,302.284347,49.154874,false_positive,FP,TESS
,3538.01,7.3105415,3.1,8940.0,15.0553,1068.0,216.462,6353.0,4.14,1.58,295.328172,48.162655,candidate,PC,TESS
,3539.01,6.0978165,3.402,15220.0,14.2859,1143.0,283.742,6255.0,4.44,1.11,302.078689,48.198605,candidate,PC,TESS
,354.01,3.0002084,1.7,8545.0,25.2021,1471.0,777.419,5767.0,4.15,1.41,24.047859,-42.303706,candidate,APC,TESS
,3540.01,3.1198404,1.7646723,8016.800953,12.1758,1324.887785,728.1777183,6011.2,,1.13476,328.911371,28.1795,planet,CP,TESS
,3541.01,2.5313956,3.128,9640.0,23.2858,2166.0,3659.88,5854.0,4.36,1.13,310.121327,25.336895,false_positive,FP,TESS
,3542.01,4.2021893,2.742,9310.0,14.1363,1332.0,523.564,6702.0,4.29,1.42,307.376941,36.970694,false_positive,FP,TESS
,3543.01,6.481666,3.35,12000.0,22.7901,,1063.58,7849.0,,1.99,305.141062,42.89367,candidate,PC,TESS
,3544.01,2.2020405,1.675,11000.0,,1176.0,317.569,5276.4,,,323.205605,26.846137,candidate,PC,TESS
,3545.01,3.1872086,3.4290537,15583.71553,21.2058311,1713.574139,2037.664119,6578.0,4.14,1.64157,301.314408,37.349804,candidate,PC,TESS
,3546.01,5.2019364,2.994,5830.0,9.64178,1170.0,312.039,6111.0,4.29,1.27,305.517342,41.255055,candidate,PC,TESS
,3547.01,4.1632657,1.874,16500.0,17.3522,846.0,85.347,5145.0,4.12,1.34,304.765094,39.595575,candidate,PC,TESS
,3548.01,0.3093954,0.442,7680.0,15.7244,1789.0,1703.73,4769.0,4.59,0.73,294.557985,47.783127,false_positive,FP,TESS
,3549.01,1.8639309,3.297,3640.0,14.7339,3289.0,19428.3,6527.4,4.18,1.57,299.872379,45.499591,false_positive,FP,TESS
,355.01,1.0372587,0.9802399,1097.764595,4.6818337,2118.462045,4759.964916,6049.0,4.25,1.3164999,17.888208,-36.709119,candidate,APC,TESS
,3550.01,1.1239202,0.824,1100.0,8.30438,1749.0,1555.17,7786.1,4.08,2.06,325.383163,29.91356,candidate,PC,TESS
,3551.01,3.1940809,3.706,3380.0,12.9018,1741.0,1528.03,6417.0,3.85,2.24,314.510904,25.540404,candidate,PC,TESS
,3552.01,0.9277787,0.997,3020.0,13.2413,1638.0,1195.25,6123.0,3.74,2.42,314.545327,25.898469,candidate,PC,TESS
,3553.01,1.9410635,1.771526,4846.770591,11.8231228,1750.049873,2216.780556,6497.2,,1.46336,325.603811,29.869375,candidate,PC,TESS
,3554.01,1.6127665,1.717,9630.0,,1821.0,1829.12,5359.2,,,321.482979,34.424583,candidate,PC,TESS
,3555.01,5.271813,4.104,20390.0,10.3325,1272.0,435.707,5947.6,,0.73,302.24715,56.508168,candidate,PC,TESS
,3556.01,4.118418,2.232,13140.0,17.7065,1178.0,320.761,6374.0,4.19,1.5,312.536937,29.983516,candidate,APC,TESS
,3557.01,0.476873,1.135,1930.0,16.2032,2388.0,5402.97,5877.0,,3.57,294.487932,46.002151,false_positive,FP,TESS
,3558.01,2.5650361,2.273,9190.0,13.0681,1441.0,717.151,5866.0,4.21,1.34,314.577184,36.440693,candidate,PC,TESS
,3559.01,2.5402287,2.3204775,8272.790443,16.3917196,1939.0,7355.90586,9339.0,4.41,1.5968,296.381383,39.959925,candidate,PC,TESS
,356.01,5.7694373,3.9249606,4655.961094,11.9640451,1230.883369,542.4861018,5499.0,4.01,1.5989701,6.070055,-37.222035,candidate,PC,TESS
,3560.01,1.9804293,2.802,1830.0,10.1264,3107.0,15472.4,6381.0,4.32,1.29,296.063483,40.30857,candidate,PC,TESS
,3561.01,4.1273472,2.74,18840.0,20.1447,1582.0,1041.76,7795.0,4.39,1.44,299.809982,38.393653,false_positive,FP,TESS
,3562.01,1.3298469,3.007,2190.0,6.98364,3735.0,32313.0,5791.1,4.69,0.81,306.256232,46.923098,false_positive,FP,TESS
,3563.01,17.8552322,7.525823,8831.671174,14.5976753,938.3377787,183.2136427,6779.2,4.25,1.49114,297.45374,41.011019,planet,KP,TESS
,3564.01,4.0875563,4.550493,15662.56232,19.9932642,1626.858148,1655.464029,6454.0,4.26,1.55158,305.940369,46.103142,candidate,PC,TESS
,3565.01,4.3170598,2.879,10240.0,12.9424,1215.0,361.994,6017.0,4.29,1.25,308.561885,35.395204,false_positive,FP,TESS
,3566.01,1.764534,2.187,27120.0,23.84,2124.0,3379.0,6479.0,4.4,1.2,297.295912,38.857228,false_positive,FP,TESS
,3567.01,1.9990323,1.19,12390.0,12.7486,1098.0,241.443,5675.0,4.38,1.07,318.104487,29.844788,candidate,PC,TESS
,3568.01,4.4178042,2.5881434,6790.168206,6.4020317,861.4483375,130.1481354,4864.0,4.55,0.785799,322.602368,34.739581,planet,CP,TESS
,3569.01,4.5956692,3.424,11760.0,14.2314,,485.021,6157.0,,1.3,307.013306,26.401654,candidate,PC,TESS
,357.01,0.9399664,1.122492,587.9364245,6.6149456,3122.448877,22464.7892,6300.3,3.72,2.5465,32.321881,-48.48474,false_positive,FP,TESS
,3570.01,2.1083693,2.974,9250.0,13.1161,3226.0,17992.5,10984.0,4.64,1.35,305.46164,34.126027,candidate,PC,TESS
,3571.01,3.007925,3.032,7760.0,15.3022,1704.0,1401.91,7457.0,4.14,1.68,328.455439,47.392259,candidate,PC,TESS
,3572.01,2.7568649,2.312,18380.0,,,,,,,314.895323,52.396406,false_positive,FP,TESS
,3573.01,9.8170028,3.341,6510.0,12.7271,1043.0,196.707,5994.3,4.13,1.49,336.998619,38.28595,candidate,PC,TESS
,3574.01,3.6691817,2.112,9890.0,,891.0,104.96,4675.9,,,326.599217,41.681578,candidate,PC,TESS
,3575.01,8.084554,1.991,6180.0,14.1848,990.0,159.573,5739.0,4.33,1.15,326.473232,36.247629,candidate,PC,TESS
,3576.01,4.6387689,3.569,11400.0,13.0535,1153.936157,340.838,5543.7,4.27,1.2,300.917036,52.080676,candidate,PC,TESS
,3577.01,5.2667367,2.788,2910.0,8.71675,1106.0,248.814,5938.0,4.06,1.6,327.095917,48.334399,planet,CP,TESS
,3578.01,1.3176767,1.692,530.0,4.16809,2137.0,3463.78,7176.0,4.16,1.73,317.124796,49.112843,false_positive,FP,TESS
,3579.01,3.310636,3.9,590.0,,935.0,126.954,3245.0,,,322.029218,56.823139,false_positive,FP,TESS
,358.01,9.10326,1.928,14080.0,26.9344,781.0,61.7667,5467.0,4.26,1.21,3.061189,-47.355422,candidate,PC,TESS
,3580.01,3.121339,4.331,26300.0,9.21314,1091.0,235.634,3858.0,4.69,0.56,330.271302,38.530284,false_positive,FP,TESS
,3581.01,3.0373017,4.664,6290.0,,2095.0,3202.79,4903.0,,,303.369006,53.276849,false_positive,FP,TESS
,3582.01,4.4168832,3.659,11250.0,14.9431,1314.0,495.827,5847.0,4.16,1.42,307.292565,50.076925,candidate,PC,TESS
,3583.01,5.2462501,5.702662,8285.71648,,1048.960397,286.1260306,3882.0,,,315.8822,48.687895,candidate,PC,TESS
,3584.01,2.7567478,2.167,9790.0,,,,,,,314.895418,52.396108,candidate,PC,TESS
,3585.01,3.5410781,2.062,3020.0,4.63661,906.0,112.33,4652.0,4.48,0.82,326.807138,34.646627,candidate,PC,TESS
,3586.01,11.3201226,3.276,31070.0,12.7584,640.0,28.0204,4971.0,4.61,0.74,310.219074,50.922722,candidate,PC,TESS
,3587.01,4.1584817,3.796,7650.0,16.4644,,1630.09,7486.0,,1.87,316.834683,49.431813,candidate,PC,TESS
,3588.01,3.7037478,4.403,4210.0,14.1169,1935.0,2328.97,6688.0,3.91,2.2,308.308351,50.926837,candidate,PC,TESS
,3589.01,3.0827487,3.763,14750.0,20.1593,2054.0,2957.04,7658.5,4.28,1.61,326.392082,39.495055,candidate,PC,TESS
,359.01,16.45209,6.461,3320.0,8.62362,,,5573.0,3.89,1.85,11.673176,-42.361791,candidate,PC,TESS
,3590.01,4.4064273,1.422,5280.0,14.7596,983.0,155.508,6592.0,4.04,1.86,329.279291,31.452973,candidate,APC,TESS
,3591.01,8.4843917,4.224,5630.0,13.159,1243.0,396.459,5859.7,4.03,1.65,325.190963,43.529775,candidate,PC,TESS
,3592.01,5.5280331,5.153,1850.0,9.24388,1487.0,811.914,,,2.11,332.122967,33.349296,candidate,PC,TESS
,3593.01,3.8212977,2.4584304,13607.99276,11.6869491,1087.64746,330.730008,5342.0,4.41,0.992137,331.506364,34.211658,candidate,PC,TESS
,3594.01,9.3236885,2.0,12730.0,13.41,631.0,26.3577,5505.0,4.3,1.15,331.162387,32.537015,candidate,PC,TESS
,3595.01,1.805376,2.0790249,21680.3725,12.0157766,1226.81093,535.3422852,5090.0,4.54,0.820538,4.859275,44.027596,planet,KP,TESS
,3596.01,4.9056578,3.172,9475.0,9.37482,1211.0,357.504,5989.7,4.47,1.01,356.128305,36.361717,candidate,PC,TESS
,3597.01,4.0088245,2.7370959,21483.74622,11.5444262,914.3568608,165.190061,5007.0,4.56,0.795696,9.516583,34.711402,planet,KP,TESS
,3598.01,3.7026941,1.884,13130.0,20.0,1343.0,540.162,6282.0,4.17,1.5,306.049504,59.27843,candidate,PC,TESS
,3599.01,3.2523102,2.711,11410.0,9.6972,1231.0,382.391,5396.4,4.5,0.9,4.094988,38.298531,candidate,PC,TESS
,360.01,8.0635,3.396,5180.0,24.3071,1390.0,621.088,5657.0,3.97,1.71,347.08487,-29.590446,false_positive,FP,TESS
,3600.01,5.016641,3.203,10347.0,17.7733,1310.0,489.828,6616.0,4.05,1.83,316.383909,56.504367,candidate,PC,TESS
,3601.01,4.0517972,2.84,6256.0,11.2646,1321.0,506.135,6284.0,4.2,1.45,8.701208,45.387414,candidate,PC,TESS
,3602.01,2.3874731,2.8056588,14252.93676,15.9427336,1661.053491,1799.10071,6566.0,4.36,1.27379,325.972143,54.574269,candidate,PC,TESS
,3603.01,1.2678043,0.893,8549.0,8.74635,1186.0,328.939,5303.0,4.49,0.9,13.719844,24.724075,candidate,PC,TESS
,3604.01,1.0666963,1.7165498,19028.86531,,1783.864373,2393.141233,4893.1,,,333.501055,56.918981,candidate,PC,TESS
,3605.01,3.6554335,3.699,9680.0,15.7486,1568.0,1005.1,6321.0,4.15,1.56,332.715604,54.481231,candidate,PC,TESS
,3606.01,9.312167,4.867,15226.0,,918.0,118.249,3979.0,,,321.24506,57.666632,candidate,PC,TESS
